ndwi,mndwi,ndci,date
,,,01-01-2018
,,,02-01-2018
,,,03-01-2018
,,,04-01-2018
,,,05-01-2018
,,,06-01-2018
,,,07-01-2018
,,,08-01-2018
,,,09-01-2018
,,,10-01-2018
,,,11-01-2018
,,,12-01-2018
,,,13-01-2018
,,,14-01-2018
,,,15-01-2018
,,,16-01-2018
,,,17-01-2018
,,,18-01-2018
,,,19-01-2018
,,,20-01-2018
,,,21-01-2018
,,,22-01-2018
,,,23-01-2018
,,,24-01-2018
,,,25-01-2018
,,,26-01-2018
,,,27-01-2018
,,,28-01-2018
,,,29-01-2018
,,,30-01-2018
,,,31-01-2018
,,,01-02-2018
,,,02-02-2018
,,,03-02-2018
,,,04-02-2018
,,,05-02-2018
,,,06-02-2018
,,,07-02-2018
,,,08-02-2018
,,,09-02-2018
,,,10-02-2018
,,,11-02-2018
,,,12-02-2018
,,,13-02-2018
,,,14-02-2018
,,,15-02-2018
,,,16-02-2018
,,,17-02-2018
,,,18-02-2018
,,,19-02-2018
,,,20-02-2018
,,,21-02-2018
,,,22-02-2018
,,,23-02-2018
,,,24-02-2018
,,,25-02-2018
,,,26-02-2018
,,,27-02-2018
,,,28-02-2018
,,,01-03-2018
,,,02-03-2018
,,,03-03-2018
,,,04-03-2018
,,,05-03-2018
,,,06-03-2018
,,,07-03-2018
,,,08-03-2018
,,,09-03-2018
,,,10-03-2018
,,,11-03-2018
,,,12-03-2018
,,,13-03-2018
,,,14-03-2018
,,,15-03-2018
,,,16-03-2018
,,,17-03-2018
,,,18-03-2018
,,,19-03-2018
,,,20-03-2018
,,,21-03-2018
,,,22-03-2018
,,,23-03-2018
,,,24-03-2018
,,,25-03-2018
,,,26-03-2018
,,,27-03-2018
,,,28-03-2018
,,,29-03-2018
,,,30-03-2018
,,,31-03-2018
,,,01-04-2018
,,,02-04-2018
,,,03-04-2018
,,,04-04-2018
,,,05-04-2018
,,,06-04-2018
,,,07-04-2018
,,,08-04-2018
,,,09-04-2018
,,,10-04-2018
,,,11-04-2018
,,,12-04-2018
,,,13-04-2018
,,,14-04-2018
,,,15-04-2018
,,,16-04-2018
,,,17-04-2018
,,,18-04-2018
,,,19-04-2018
,,,20-04-2018
,,,21-04-2018
,,,22-04-2018
,,,23-04-2018
,,,24-04-2018
,,,25-04-2018
,,,26-04-2018
,,,27-04-2018
,,,28-04-2018
,,,29-04-2018
,,,30-04-2018
,,,01-05-2018
,,,02-05-2018
,,,03-05-2018
,,,04-05-2018
,,,05-05-2018
,,,06-05-2018
,,,07-05-2018
,,,08-05-2018
,,,09-05-2018
,,,10-05-2018
,,,11-05-2018
,,,12-05-2018
,,,13-05-2018
,,,14-05-2018
,,,15-05-2018
,,,16-05-2018
,,,17-05-2018
,,,18-05-2018
,,,19-05-2018
,,,20-05-2018
,,,21-05-2018
,,,22-05-2018
,,,23-05-2018
,,,24-05-2018
,,,25-05-2018
,,,26-05-2018
,,,27-05-2018
,,,28-05-2018
,,,29-05-2018
,,,30-05-2018
,,,31-05-2018
,,,01-06-2018
,,,02-06-2018
,,,03-06-2018
,,,04-06-2018
,,,05-06-2018
,,,06-06-2018
,,,07-06-2018
,,,08-06-2018
,,,09-06-2018
,,,10-06-2018
,,,11-06-2018
,,,12-06-2018
,,,13-06-2018
,,,14-06-2018
,,,15-06-2018
,,,16-06-2018
,,,17-06-2018
,,,18-06-2018
,,,19-06-2018
,,,20-06-2018
,,,21-06-2018
,,,22-06-2018
,,,23-06-2018
,,,24-06-2018
,,,25-06-2018
,,,26-06-2018
,,,27-06-2018
,,,28-06-2018
,,,29-06-2018
,,,30-06-2018
,,,01-07-2018
,,,02-07-2018
,,,03-07-2018
,,,04-07-2018
,,,05-07-2018
,,,06-07-2018
,,,07-07-2018
,,,08-07-2018
,,,09-07-2018
,,,10-07-2018
,,,11-07-2018
,,,12-07-2018
,,,13-07-2018
,,,14-07-2018
,,,15-07-2018
,,,16-07-2018
,,,17-07-2018
,,,18-07-2018
,,,19-07-2018
,,,20-07-2018
,,,21-07-2018
,,,22-07-2018
,,,23-07-2018
,,,24-07-2018
,,,25-07-2018
,,,26-07-2018
,,,27-07-2018
,,,28-07-2018
,,,29-07-2018
,,,30-07-2018
,,,31-07-2018
,,,01-08-2018
,,,02-08-2018
,,,03-08-2018
,,,04-08-2018
,,,05-08-2018
,,,06-08-2018
,,,07-08-2018
,,,08-08-2018
,,,09-08-2018
,,,10-08-2018
,,,11-08-2018
,,,12-08-2018
,,,13-08-2018
,,,14-08-2018
,,,15-08-2018
,,,16-08-2018
,,,17-08-2018
,,,18-08-2018
,,,19-08-2018
,,,20-08-2018
,,,21-08-2018
,,,22-08-2018
,,,23-08-2018
,,,24-08-2018
,,,25-08-2018
,,,26-08-2018
,,,27-08-2018
,,,28-08-2018
,,,29-08-2018
,,,30-08-2018
,,,31-08-2018
,,,01-09-2018
,,,02-09-2018
,,,03-09-2018
,,,04-09-2018
,,,05-09-2018
,,,06-09-2018
,,,07-09-2018
,,,08-09-2018
,,,09-09-2018
,,,10-09-2018
,,,11-09-2018
,,,12-09-2018
,,,13-09-2018
,,,14-09-2018
,,,15-09-2018
,,,16-09-2018
,,,17-09-2018
,,,18-09-2018
,,,19-09-2018
,,,20-09-2018
,,,21-09-2018
,,,22-09-2018
,,,23-09-2018
,,,24-09-2018
,,,25-09-2018
,,,26-09-2018
,,,27-09-2018
,,,28-09-2018
,,,29-09-2018
,,,30-09-2018
,,,01-10-2018
,,,02-10-2018
,,,03-10-2018
,,,04-10-2018
,,,05-10-2018
,,,06-10-2018
,,,07-10-2018
,,,08-10-2018
,,,09-10-2018
,,,10-10-2018
,,,11-10-2018
,,,12-10-2018
,,,13-10-2018
,,,14-10-2018
,,,15-10-2018
,,,16-10-2018
,,,17-10-2018
,,,18-10-2018
,,,19-10-2018
,,,20-10-2018
,,,21-10-2018
,,,22-10-2018
,,,23-10-2018
,,,24-10-2018
,,,25-10-2018
,,,26-10-2018
,,,27-10-2018
,,,28-10-2018
,,,29-10-2018
,,,30-10-2018
,,,31-10-2018
,,,01-11-2018
,,,02-11-2018
,,,03-11-2018
,,,04-11-2018
,,,05-11-2018
,,,06-11-2018
,,,07-11-2018
,,,08-11-2018
,,,09-11-2018
,,,10-11-2018
,,,11-11-2018
,,,12-11-2018
,,,13-11-2018
,,,14-11-2018
,,,15-11-2018
,,,16-11-2018
,,,17-11-2018
,,,18-11-2018
,,,19-11-2018
,,,20-11-2018
,,,21-11-2018
,,,22-11-2018
,,,23-11-2018
,,,24-11-2018
,,,25-11-2018
,,,26-11-2018
,,,27-11-2018
,,,28-11-2018
,,,29-11-2018
,,,30-11-2018
,,,01-12-2018
,,,02-12-2018
,,,03-12-2018
,,,04-12-2018
,,,05-12-2018
,,,06-12-2018
,,,07-12-2018
,,,08-12-2018
,,,09-12-2018
,,,10-12-2018
,,,11-12-2018
,,,12-12-2018
,,,13-12-2018
,,,14-12-2018
,,,15-12-2018
,,,16-12-2018
,,,17-12-2018
-0.17786636,-0.088483551,-0.046015202,18-12-2018
,,,19-12-2018
,,,20-12-2018
,,,21-12-2018
,,,22-12-2018
-0.206892176,-0.115432601,-0.052787439,23-12-2018
,,,24-12-2018
,,,25-12-2018
,,,26-12-2018
,,,27-12-2018
-0.207646893,-0.121293429,-0.046423318,28-12-2018
,,,29-12-2018
,,,30-12-2018
,,,01-01-2019
-0.205867333,-0.127137364,-0.043023958,02-01-2019
,,,03-01-2019
,,,04-01-2019
,,,05-01-2019
,,,06-01-2019
-0.11872823,-0.050771235,-0.030321414,07-01-2019
,,,08-01-2019
,,,09-01-2019
,,,10-01-2019
,,,11-01-2019
-0.091032077,-0.062934701,-0.02182278,12-01-2019
,,,13-01-2019
,,,14-01-2019
,,,15-01-2019
,,,16-01-2019
-0.186858856,-0.125431487,-0.02364014,17-01-2019
,,,18-01-2019
,,,19-01-2019
,,,20-01-2019
,,,21-01-2019
-0.205593041,-0.154415282,-0.006433197,22-01-2019
,,,23-01-2019
,,,24-01-2019
,,,25-01-2019
,,,26-01-2019
-0.201520054,-0.163628966,-0.014523634,27-01-2019
,,,28-01-2019
,,,29-01-2019
,,,30-01-2019
,,,31-01-2019
-0.144720333,-0.111464528,-0.029748759,01-02-2019
,,,02-02-2019
,,,03-02-2019
,,,04-02-2019
,,,05-02-2019
-0.074376456,-0.043498391,-0.01727317,06-02-2019
,,,07-02-2019
,,,08-02-2019
,,,09-02-2019
,,,10-02-2019
-0.247528609,-0.168606168,-0.013995538,11-02-2019
,,,12-02-2019
,,,13-02-2019
,,,14-02-2019
,,,15-02-2019
-0.207142131,-0.165057841,-0.009895405,16-02-2019
,,,17-02-2019
,,,18-02-2019
,,,19-02-2019
,,,20-02-2019
-0.244510623,-0.182390169,-0.03381958,21-02-2019
,,,22-02-2019
,,,23-02-2019
,,,24-02-2019
,,,25-02-2019
-0.261689581,-0.187668617,0.01093964,26-02-2019
,,,27-02-2019
,,,28-02-2019
,,,01-03-2019
,,,02-03-2019
,,,03-03-2019
,,,04-03-2019
,,,05-03-2019
,,,06-03-2019
,,,07-03-2019
-0.295824544,-0.202969409,0.010994459,08-03-2019
,,,09-03-2019
,,,10-03-2019
,,,11-03-2019
,,,12-03-2019
,,,13-03-2019
,,,14-03-2019
,,,15-03-2019
,,,16-03-2019
,,,17-03-2019
-0.333789055,-0.269002509,-0.00446043,18-03-2019
,,,19-03-2019
,,,20-03-2019
,,,21-03-2019
,,,22-03-2019
-0.263339988,-0.169285296,0.007603693,23-03-2019
,,,24-03-2019
,,,25-03-2019
,,,26-03-2019
,,,27-03-2019
-0.248849564,-0.162620916,0.021503775,28-03-2019
,,,29-03-2019
,,,30-03-2019
,,,31-03-2019
,,,01-04-2019
-0.225091238,-0.141366943,0.006399385,02-04-2019
,,,03-04-2019
,,,04-04-2019
,,,05-04-2019
,,,06-04-2019
-0.235788384,-0.155836615,0.026364435,07-04-2019
,,,08-04-2019
,,,09-04-2019
,,,10-04-2019
,,,11-04-2019
-0.224783554,-0.145269344,0.013396284,12-04-2019
,,,13-04-2019
,,,14-04-2019
,,,15-04-2019
,,,16-04-2019
0.032984203,0.021223865,-0.051788917,17-04-2019
,,,18-04-2019
,,,19-04-2019
,,,20-04-2019
,,,21-04-2019
-0.242680702,-0.147775643,-0.005551671,22-04-2019
,,,23-04-2019
,,,24-04-2019
,,,25-04-2019
,,,26-04-2019
-0.219544762,-0.134151401,0.004456962,27-04-2019
,,,28-04-2019
,,,29-04-2019
,,,30-04-2019
,,,01-05-2019
-0.245258712,-0.14565194,0.013131249,02-05-2019
,,,03-05-2019
,,,04-05-2019
,,,05-05-2019
,,,06-05-2019
-0.226682756,-0.137874818,0.016236528,07-05-2019
,,,08-05-2019
,,,09-05-2019
,,,10-05-2019
,,,11-05-2019
-0.211397102,-0.12609842,0.021360529,12-05-2019
,,,13-05-2019
,,,14-05-2019
,,,15-05-2019
,,,16-05-2019
-0.241621126,-0.150981552,0.017254407,17-05-2019
,,,18-05-2019
,,,19-05-2019
,,,20-05-2019
,,,21-05-2019
-0.260668693,-0.169891327,-0.001702659,22-05-2019
,,,23-05-2019
,,,24-05-2019
,,,25-05-2019
,,,26-05-2019
-0.238005109,-0.148454946,0.007438998,27-05-2019
,,,28-05-2019
,,,29-05-2019
,,,30-05-2019
,,,31-05-2019
-0.230750922,-0.139563263,0.007368851,01-06-2019
,,,02-06-2019
,,,03-06-2019
,,,04-06-2019
,,,05-06-2019
-0.214022911,-0.129798416,0.01563422,06-06-2019
,,,07-06-2019
,,,08-06-2019
,,,09-06-2019
,,,10-06-2019
-0.214009001,-0.131150117,0.009055613,11-06-2019
,,,12-06-2019
,,,13-06-2019
,,,14-06-2019
,,,15-06-2019
,,,16-06-2019
,,,17-06-2019
,,,18-06-2019
,,,19-06-2019
,,,20-06-2019
,,,21-06-2019
,,,22-06-2019
,,,23-06-2019
,,,24-06-2019
,,,25-06-2019
,,,26-06-2019
,,,27-06-2019
,,,28-06-2019
,,,29-06-2019
,,,30-06-2019
,,,01-07-2019
,,,02-07-2019
,,,03-07-2019
,,,04-07-2019
,,,05-07-2019
,,,06-07-2019
,,,07-07-2019
,,,08-07-2019
,,,09-07-2019
,,,10-07-2019
,,,11-07-2019
,,,12-07-2019
,,,13-07-2019
,,,14-07-2019
,,,15-07-2019
,,,16-07-2019
,,,17-07-2019
,,,18-07-2019
,,,19-07-2019
,,,20-07-2019
,,,21-07-2019
,,,22-07-2019
,,,23-07-2019
,,,24-07-2019
,,,25-07-2019
,,,26-07-2019
,,,27-07-2019
,,,28-07-2019
,,,29-07-2019
,,,30-07-2019
,,,31-07-2019
,,,01-08-2019
,,,02-08-2019
,,,03-08-2019
,,,04-08-2019
,,,05-08-2019
,,,06-08-2019
,,,07-08-2019
,,,08-08-2019
,,,09-08-2019
,,,10-08-2019
,,,11-08-2019
,,,12-08-2019
,,,13-08-2019
,,,14-08-2019
,,,15-08-2019
,,,16-08-2019
,,,17-08-2019
,,,18-08-2019
,,,19-08-2019
,,,20-08-2019
,,,21-08-2019
,,,22-08-2019
,,,23-08-2019
,,,24-08-2019
,,,25-08-2019
,,,26-08-2019
,,,27-08-2019
,,,28-08-2019
,,,29-08-2019
,,,30-08-2019
,,,31-08-2019
,,,01-09-2019
,,,02-09-2019
,,,03-09-2019
,,,04-09-2019
,,,05-09-2019
,,,06-09-2019
,,,07-09-2019
,,,08-09-2019
,,,09-09-2019
,,,10-09-2019
,,,11-09-2019
,,,12-09-2019
,,,13-09-2019
,,,14-09-2019
,,,15-09-2019
,,,16-09-2019
,,,17-09-2019
,,,18-09-2019
,,,19-09-2019
,,,20-09-2019
,,,21-09-2019
,,,22-09-2019
,,,23-09-2019
,,,24-09-2019
,,,25-09-2019
,,,26-09-2019
,,,27-09-2019
,,,28-09-2019
,,,29-09-2019
,,,30-09-2019
,,,01-10-2019
,,,02-10-2019
,,,03-10-2019
-0.264669378,-0.100888599,-0.073597161,04-10-2019
,,,05-10-2019
,,,06-10-2019
,,,07-10-2019
,,,08-10-2019
-0.304496642,-0.114711274,-0.076648692,09-10-2019
,,,10-10-2019
,,,11-10-2019
,,,12-10-2019
,,,13-10-2019
-0.320704298,-0.141018359,-0.051623755,14-10-2019
,,,15-10-2019
,,,16-10-2019
,,,17-10-2019
,,,18-10-2019
,,,19-10-2019
,,,20-10-2019
,,,21-10-2019
,,,22-10-2019
,,,23-10-2019
,,,24-10-2019
,,,25-10-2019
,,,26-10-2019
,,,27-10-2019
,,,28-10-2019
,,,29-10-2019
,,,30-10-2019
,,,31-10-2019
,,,01-11-2019
,,,02-11-2019
,,,03-11-2019
,,,04-11-2019
,,,05-11-2019
,,,06-11-2019
,,,07-11-2019
,,,08-11-2019
,,,09-11-2019
,,,10-11-2019
,,,11-11-2019
,,,12-11-2019
,,,13-11-2019
,,,14-11-2019
,,,15-11-2019
,,,16-11-2019
,,,17-11-2019
,,,18-11-2019
,,,19-11-2019
,,,20-11-2019
,,,21-11-2019
,,,22-11-2019
-0.240052881,-0.082020314,-0.065832273,23-11-2019
,,,24-11-2019
,,,25-11-2019
,,,26-11-2019
,,,27-11-2019
-0.22067066,-0.058533821,-0.069457962,28-11-2019
,,,29-11-2019
,,,30-11-2019
,,,01-12-2019
,,,02-12-2019
-0.179085602,-0.046052996,-0.062377158,03-12-2019
,,,04-12-2019
,,,05-12-2019
,,,06-12-2019
,,,07-12-2019
-0.240786464,-0.084822175,-0.063109788,08-12-2019
,,,09-12-2019
,,,10-12-2019
,,,11-12-2019
,,,12-12-2019
-0.301252895,-0.135081106,-0.046435618,13-12-2019
,,,14-12-2019
,,,15-12-2019
,,,16-12-2019
,,,17-12-2019
-0.332305625,-0.15000806,-0.051006237,18-12-2019
,,,19-12-2019
,,,20-12-2019
,,,21-12-2019
,,,22-12-2019
-0.255633102,-0.116830883,-0.033273178,23-12-2019
,,,24-12-2019
,,,25-12-2019
,,,26-12-2019
,,,27-12-2019
-0.315513088,-0.139318845,-0.039796068,28-12-2019
,,,29-12-2019
,,,30-12-2019
,,,01-01-2020
,,,02-01-2020
,,,03-01-2020
,,,04-01-2020
,,,05-01-2020
,,,06-01-2020
,,,07-01-2020
,,,08-01-2020
,,,09-01-2020
,,,10-01-2020
,,,11-01-2020
-0.314156934,-0.158942595,-0.029420479,12-01-2020
,,,13-01-2020
,,,14-01-2020
,,,15-01-2020
,,,16-01-2020
-0.308173173,-0.171383256,-0.020982998,17-01-2020
,,,18-01-2020
,,,19-01-2020
,,,20-01-2020
,,,21-01-2020
,,,22-01-2020
,,,23-01-2020
,,,24-01-2020
,,,25-01-2020
,,,26-01-2020
,,,27-01-2020
,,,28-01-2020
,,,29-01-2020
,,,30-01-2020
,,,31-01-2020
-0.281350639,-0.150719236,-0.023220805,01-02-2020
,,,02-02-2020
,,,03-02-2020
,,,04-02-2020
,,,05-02-2020
-0.280751416,-0.182518178,-0.007017703,06-02-2020
,,,07-02-2020
,,,08-02-2020
,,,09-02-2020
,,,10-02-2020
-0.294366644,-0.178099389,-0.018868313,11-02-2020
,,,12-02-2020
,,,13-02-2020
,,,14-02-2020
,,,15-02-2020
-0.341885016,-0.193315569,-0.00957482,16-02-2020
,,,17-02-2020
,,,18-02-2020
,,,19-02-2020
,,,20-02-2020
-0.275077945,-0.16294185,-0.018409607,21-02-2020
,,,22-02-2020
,,,23-02-2020
,,,24-02-2020
,,,25-02-2020
-0.374624697,-0.236551272,0.006198608,26-02-2020
,,,27-02-2020
,,,28-02-2020
,,,29-02-2020
,,,01-03-2020
-0.351244097,-0.209861509,-0.015646752,02-03-2020
,,,03-03-2020
,,,04-03-2020
,,,05-03-2020
,,,06-03-2020
-0.444774763,-0.297144809,0.020805413,07-03-2020
,,,08-03-2020
,,,09-03-2020
,,,10-03-2020
,,,11-03-2020
,,,12-03-2020
,,,13-03-2020
,,,14-03-2020
,,,15-03-2020
,,,16-03-2020
-0.504961866,-0.351739412,0.003405905,17-03-2020
,,,18-03-2020
,,,19-03-2020
,,,20-03-2020
,,,21-03-2020
-0.490903102,-0.334208718,0.057291502,22-03-2020
,,,23-03-2020
,,,24-03-2020
,,,25-03-2020
,,,26-03-2020
,,,27-03-2020
,,,28-03-2020
,,,29-03-2020
,,,30-03-2020
,,,31-03-2020
-0.329496793,-0.185245575,0.013733896,01-04-2020
,,,02-04-2020
,,,03-04-2020
,,,04-04-2020
,,,05-04-2020
-0.259744123,-0.124855458,-0.024590023,06-04-2020
,,,07-04-2020
,,,08-04-2020
,,,09-04-2020
,,,10-04-2020
-0.272100936,-0.146415801,0.002273493,11-04-2020
,,,12-04-2020
,,,13-04-2020
,,,14-04-2020
,,,15-04-2020
-0.312604232,-0.174275947,0.004084245,16-04-2020
,,,17-04-2020
,,,18-04-2020
,,,19-04-2020
,,,20-04-2020
-0.329380421,-0.187247915,0.009810802,21-04-2020
,,,22-04-2020
,,,23-04-2020
,,,24-04-2020
,,,25-04-2020
-0.308243336,-0.171121707,0.004096614,26-04-2020
,,,27-04-2020
,,,28-04-2020
,,,29-04-2020
,,,30-04-2020
-0.305807331,-0.17352852,0.013207116,01-05-2020
,,,02-05-2020
,,,03-05-2020
,,,04-05-2020
,,,05-05-2020
-0.319249285,-0.179500903,0.005834594,06-05-2020
,,,07-05-2020
,,,08-05-2020
,,,09-05-2020
,,,10-05-2020
-0.336616654,-0.196860351,0.004135958,11-05-2020
,,,12-05-2020
,,,13-05-2020
,,,14-05-2020
,,,15-05-2020
-0.297450213,-0.161555714,0.003472653,16-05-2020
,,,17-05-2020
,,,18-05-2020
,,,19-05-2020
,,,20-05-2020
-0.340463664,-0.194434123,0.018066244,21-05-2020
,,,22-05-2020
,,,23-05-2020
,,,24-05-2020
,,,25-05-2020
-0.340866889,-0.205382143,0.018103144,26-05-2020
,,,27-05-2020
,,,28-05-2020
,,,29-05-2020
,,,30-05-2020
-0.271954656,-0.160799697,0.016482739,31-05-2020
,,,01-06-2020
,,,02-06-2020
,,,03-06-2020
,,,04-06-2020
-0.219739556,-0.11549994,-0.008099276,05-06-2020
,,,06-06-2020
,,,07-06-2020
,,,08-06-2020
,,,09-06-2020
-0.304154075,-0.147746966,-0.023905747,10-06-2020
,,,11-06-2020
,,,12-06-2020
,,,13-06-2020
,,,14-06-2020
,,,15-06-2020
,,,16-06-2020
,,,17-06-2020
,,,18-06-2020
,,,19-06-2020
,,,20-06-2020
,,,21-06-2020
,,,22-06-2020
,,,23-06-2020
,,,24-06-2020
,,,25-06-2020
,,,26-06-2020
,,,27-06-2020
,,,28-06-2020
,,,29-06-2020
-0.206564932,-0.080544864,-0.026354295,30-06-2020
,,,01-07-2020
,,,02-07-2020
,,,03-07-2020
,,,04-07-2020
,,,05-07-2020
